id,title,url,date,topics,notes,thumb,ref_papers,ref_books,ref_talks,ref_datasets,ref_other,related
Join us as we challenge the standard narrative and ask: does quantum mechanics really explain structure—or just approximate it well enough to get by?",," Born, M., & Oppenheimer, R. (1927). ""Zur Quantentheorie der Molekeln."" Annalen der Physik, 389, 457–484.;Sutcliffe, B. T., & Woolley, R. G. (2012). ""On the quantum theory of molecules."" Journal of Chemical Physics, 137, 22A544.; Hunter, G. (1975). ""The exact solution of the Schrödinger equation for the hydrogen molecule."" International Journal of Quantum Chemistry, 9(2), 237–242.; Pavošević, F., Neese, F., & Valeev, E. F. (2020). ""A simple, exact, and computationally efficient method for solving the molecular Schrödinger equation."" Science Advances, 6(5), eaaw7153.;Hammes-Schiffer, S. (2015). ""Beyond the Born-Oppenheimer approximation: Multicomponent density functional theory and multicomponent wave function methods."" Accounts of Chemical Research, 48(3), 663–670.;Atkins, P., & Friedman, R. Molecular Quantum Mechanics. 5th Edition, Oxford University Press (2010).;Wolynes, P. G. (2005). ""Quantum theory for complex systems."" Proceedings of the National Academy of Sciences, 102(19), 6657–6658.;Fuchs, C. A., & Peres, A. (2000). ""Quantum theory needs no ‘interpretation’."" Physics Today, 53, 70–71.;Scerri, E. R. The Periodic Table: Its Story and Its Significance. Oxford University Press (2006).;Baggott, J. The Quantum Story: A History in 40 Moments. Oxford University Press (2011).;Weinberg, S. (2013). Lectures on Quantum Mechanics. Cambridge University Press.","Griffiths, D. J. Introduction to Quantum Mechanics. 2nd Edition, Pearson (2004).;Levine, I. N. Quantum Chemistry. 7th Edition, Pearson (2013).;McQuarrie, D. A. Quantum Chemistry. University Science Books (2008).; ",,,,
20250315-long,Cracks in the Nuclear Model: Surprising Evidence for Structure,https://youtu.be/qynSxOS_HFc,2025-03-15,QM;SAM,"Cracks in the Nuclear Model? A Deep Dive into Charge Distribution

For decades, nuclear physics has been built on the assumption that protons and neutrons form an amorphous, statistical cloud inside the nucleus. But what if this model is missing something fundamental?

In this video, we explore four key anomalies that challenge the conventional understanding of nuclear charge distribution:
🔹 The proton radius puzzle – Why does its size seem to depend on how we measure it?
🔹 Nuclear charge radii – Why are most nuclei smaller than predicted, and why does this trend worsen as atomic number increases?
🔹 Isotope charge radii – Why do isotopes show an unpredictable pattern of expansion and contraction?
🔹 Magic numbers and nuclear structure – Do these stability patterns emerge from a hidden geometric order?

Recent experimental data suggests that nuclear charge is not smoothly distributed but follows a more complex and structured pattern. Could a Structured Atomic Model (SAM) provide the missing piece of the puzzle?",,Observation of an unexpected negative isotope shift in 229Th+ and its theoretical explanation|https://arxiv.org/abs/1505.05818;Unexpectedly large charge radii of neutron-rich calcium isotopes|https://arxiv.org/abs/1602.07906;Deformation and Collectivity in Doubly Magic 208Pb|https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.134.062502,,,Nuclear Charge Radii|https://www-nds.iaea.org/radii/#ref,The 'Double Magic' Atom Is a Physics Fairy Tale That Continues to Baffle Scientists|https://www.popularmechanics.com/science/a63934778/double-magic-atom/,
20250301-long,When Science Stops Questioning Itself: The Dark Energy Assumption,https://youtu.be/Fd4yMprJ2A8,2025-03-01,ΛCDM;Timeline;History,"For over two decades, the discovery of dimming in Type Ia supernovae (SN1a) has been the cornerstone of the claim that the universe’s expansion is accelerating—leading to the introduction of dark energy. But what if this conclusion was based on a flawed assumption?

In this video, we examine the key problems with how SN1a data is interpreted, the contradictions it presents when compared to independent tests like the Tolman surface brightness test, and why cosmologists never stopped to question whether they were measuring acceleration—or just the limitations of their own methodology.

Could dark energy be nothing more than a patch to an already broken cosmological model? And if SN1a dimming is a calibration issue rather than real acceleration, what does that mean for the entire ΛCDM framework?",,"Riess et al. (1998) – Observational Evidence from Supernovae for an Accelerating Universe and a Cosmological Constant.  The original paper that first claimed the discovery of dark energy using SN1a dimming. DOI: 10.1086/300499;Perlmutter et al. (1999) – Measurements of Omega and Lambda from 42 High-Redshift Supernovae.  A key follow-up study reinforcing the accelerating expansion claim. DOI: 10.1086/307221;Frieman, Turner & Huterer (2008) – Dark Energy and the Accelerating Universe. A review discussing the physics behind dark energy models and observational evidence. DOI: 10.1146/annurev.astro.46.060407.145243;Nielsen, Guffanti, & Sarkar (2016) – Marginal Evidence for Cosmic Acceleration from Type Ia Supernovae. A reanalysis of SN1a data suggesting that acceleration might be overstated. DOI: 10.1038/s41550-016-0009;Wojtak et al. (2015) – Cosmic Variance and Biases in Supernova Cosmology. Discusses how observational biases could influence SN1a measurements. DOI: 10.1093/mnras/stv1896;Kelly et al. (2010) – Evidence for Environmental Dependence in SN1a Luminosities. Shows that SN1a brightness correlates with host galaxy properties, challenging the assumption of perfect standard candles.  DOI: 10.1088/0004-637X/715/2/743;Tolman Surface Brightness Test and Expansion Models. Lubin & Sandage (2001) – The Tolman Surface Brightness Test for the Reality of the Expansion. IV. A Measurement of the Tolman Signal and the Luminosity Evolution of Early-Type Galaxies. Key paper using the Tolman test to analyze galaxy brightness in an expanding universe. DOI: 10.1086/323343;Lopez-Corredoira (2017) – Tests and Problems of the Standard Model in Cosmology.
Critically reviews ΛCDM and discusses alternative interpretations of cosmic expansion. DOI: 10.1016/j.physrep.2017.10.001;Dressler et al. (2011) – The Impact of Selection Bias in Supernova Cosmology. Discusses Malmquist bias and selection effects in SN1a samples. DOI: 10.1088/0004-637X/721/1/715;Peebles (2020) – Cosmology’s Century: An Inside History of Our Modern Understanding of the Universe. A historical perspective on how cosmology developed, including discussion on dark energy and biases in interpretation. ISBN: 978-0691196022",,,,,
20250215-long,The True Crisis in Cosmology Is Invisible: The Quipu Illusion,https://youtu.be/zKbETCWjTz8,2025-02-15,ΛCDM;Structure Formation,"A recent discovery has shaken the foundations of cosmology—Quipu, an enormous cosmic structure dubbed the largest ever observed in the universe. Stretching across unimaginable distances, Quipu challenges everything we thought we knew about the cosmos. How could something so massive and complex have formed within the timeline set by the Big Bang model?

In this episode, we dive deep into the discovery of Quipu, exploring what it reveals about the large-scale structure of the universe and the models we use to understand it. Could this colossal structure be evidence that our current theories are incomplete—or even fundamentally flawed?

We’ll examine how Quipu fits (or doesn’t fit) within the standard model of cosmology and what this means for the future of our understanding of the universe. Is it time to rethink the way we interpret cosmic data?

Join us as we explore the implications of this groundbreaking discovery, question the assumptions built into our models, and ask the bold question: If our models are leading us to see patterns and connections that might not be real, then how much of our understanding of the universe is truly objective?",,Unveiling the largest structures in the nearby Universe: Discovery of the Quipu superstructure|https://arxiv.org/abs/2501.19236,,,,,
20250131-long,Elements Beyond the Stars: A Missing Link in Nucleosynthesis?,https://youtu.be/Wd8V_BxaBnE,2025-01-31,ΛCDM;LENR; Plasma Cosmology,"Are We Missing a Key Piece of the Elemental Puzzle?

For decades, we've been told that stars are the ultimate element factories, forging everything from hydrogen to the heavier elements that make up our world. But what if element formation is far more widespread than we think? 🤔

In this video, we explore the hidden forges of the universe, from the interstellar medium (ISM) to planetary crusts, and even unexpected mineral deposits deep within Earth. Could low-energy nuclear reactions (LENR) play a role in reshaping how we think about nucleosynthesis? Is there evidence that elements are being formed or transformed outside of traditional stellar processes?

🔹 What’s really happening in the ISM?
🔹 Why do we find gold, silver, and uranium in strange places?
🔹 Could LENR offer an explanation for element formation beyond stars?

Join us as we challenge conventional wisdom and take a fresh look at how elements are created and recycled across the cosmos. 🔥",,"Potential Correlations between Apparent Peaks in LENR
Transmutation Data and Deuteron Fusion Screening Data|https://www.lenr-forum.com/attachment/24476-nagel-famus5-paper-pdf/;ISOTOPIC CHANGES OF THE REACTION PRODUCTS INDUCED BY CATHODIC ELECTROLYSIS IN Pd|https://www.lenr-canr.org/acrobat/MizunoTisotopicch.pdf;NUCLEAR TRANSMUTATIONS IN THIN-FILM NICKEL COATINGS UNDERGOING ELECTROLYSIS|https://www.infinite-energy.com/images/pdfs/MileyPattersonIE9.pdf;NUCLEAR TRANSMUTATIONS IN THIN-FILM NICKEL COATINGS UNDERGOING ELECTROLYSIS |https://www.lenr-canr.org/acrobat/MileyGHnucleartra.pdf;Search for Evidence of Nuclear Transmutations in the CETI RIFEX Kit|https://www.academia.edu/51621242/Search_for_Evidence_of_Nuclear_Transmutations_in_the_CETI_RIFEX_Kit;Herbst, E., & van Dishoeck, E. F. (2009). ""Complex Organic Interstellar Chemistry"" – Annual Review of Astronomy and Astrophysics, 47(1), 427-480. DOI:10.1146/annurev-astro-082708-101654;Savage, B. D., & Sembach, K. R. (1996). ""Interstellar Abundances from Absorption-Line Observations with the Hubble Space Telescope"" – Annual Review of Astronomy and Astrophysics, 34(1), 279-330. DOI:10.1146/annurev.astro.34.1.279;Carpinteri, A., Lacidogna, G., & Manuello, A. (2010). ""Piezonuclear Fission Reactions in Rocks: A New Perspective on Natural Radioactivity"" – Modern Physics Letters B, 24(26), 2757-2766. DOI:10.1142/S0217984910026730;Storms, E. (2007). The Science of Low Energy Nuclear Reaction: A Comprehensive Compilation of Evidence and Explanations. World Scientific Publishing. ISBN: 978-981-270-620-1;Kerridge, J. F. (1985). ""Carbon, Hydrogen, and Nitrogen in Carbonaceous Chondrites: Abundances and Isotopic Compositions in Bulk Samples"" – Geochimica et Cosmochimica Acta, 49(8), 1707-1714. DOI:10.1016/0016-7037(85)90141-3;Haines, E. L., Metzger, A. E., Parker, R. E., & Trombka, J. I. (1978). ""Lunar Uranium and Thorium Distribution: The Radioactive Moon"" – The Moon and the Planets, 18, 11-28. DOI:10.1007/BF00897267",,,,Structured Atom Model|https://structuredatom.org/,
20250119-long,"LENR: Fusion, Fission, and the Hidden Potential of Stability",https://youtu.be/r7GDdcD2JT4,2025-01-19,LENR;SAM,"LENR is often dismissed as chaotic and inconsistent, with experiments yielding varied and unpredictable results. But new analysis reveals a hidden pattern—five distinct atomic mass peaks that point to a universal mechanism at work. In this video, we uncover how fusion and fission processes combine in unexpected ways, challenging conventional nuclear science and offering new insights into the mysteries of transmutation.",,"Potential Correlations between Apparent Peaks in LENR
Transmutation Data and Deuteron Fusion Screening Data|https://www.lenr-forum.com/attachment/24476-nagel-famus5-paper-pdf/;ISOTOPIC CHANGES OF THE REACTION PRODUCTS INDUCED BY CATHODIC ELECTROLYSIS IN Pd|https://www.lenr-canr.org/acrobat/MizunoTisotopicch.pdf;NUCLEAR TRANSMUTATIONS IN THIN-FILM NICKEL COATINGS UNDERGOING ELECTROLYSIS|https://www.infinite-energy.com/images/pdfs/MileyPattersonIE9.pdf;NUCLEAR TRANSMUTATIONS IN THIN-FILM NICKEL COATINGS UNDERGOING ELECTROLYSIS |https://www.lenr-canr.org/acrobat/MileyGHnucleartra.pdf;Search for Evidence of Nuclear Transmutations in the CETI RIFEX Kit|https://www.academia.edu/51621242/Search_for_Evidence_of_Nuclear_Transmutations_in_the_CETI_RIFEX_Kit",,,,Structured Atom Model|https://structuredatom.org/,
20241219-long,LENR: The Overlooked Path to a New Nuclear Era,https://youtu.be/Yig4zoLv9Qk,2024-12-19,LENR;History,"Imagine a phenomenon so perplexing it challenges our understanding of physics and energy. In 1989, Fleischmann and Pons claimed to achieve ""cold fusion,"" nuclear energy without the Sun’s extreme temperatures. Dismissed and ridiculed, their work sparked a decades-long scientific mystery that refuses to fade away. Now rebranded as Low Energy Nuclear Reactions (LENR), the field continues to produce anomalous results—unexplained bursts of heat, isotopic shifts, and even fission-like products.

This video explores the evolution of LENR research since its controversial beginnings, diving into theories like Nuclear Active Environments (NAEs) and alternative ideas like the Structured Atom Model (SAM). Could LENR hold the key to entirely new nuclear pathways? Join us as we investigate whether it’s time to rethink how elements are formed, energy is harnessed, and the universe itself operates.",,"McKubre, M.C.H. (1994): Excess Power Observations in Electrochemical Studies of the D/Pd System; The Influence of Loading.
Key findings on the importance of achieving high deuterium loading in palladium for LENR experiments.;Iwamura, Y., et al. (2002): Elemental transmutation in condensed matter induced by deuterium permeation through Pd complexes.
Experimental results on transmutation products, such as cesium transforming into praseodymium.;Hagelstein, P. L., & Chaudhary, I. (2012):
Coupling between a deuteron and a lattice|https://arxiv.org/abs/1204.2159;Early theoretical work proposing mechanisms for LENR based on vacancies in metal lattices.
Widom, A., & Larsen, L. (2006):
Ultra low momentum neutron catalyzed nuclear reactions on metallic hydride surfaces.|https://arxiv.org/abs/cond-mat/0602472;Storms, E. (2012): An explanation of low energy nuclear reactions (cold fusion)|https://www.lenr-canr.org/acrobat/StormsEanexplanat.pdf;Schwinger, J. (1990): Cold Fusion: A Theoretical Model.
Nobel laureate Schwinger’s theoretical defense of cold fusion.|https://www.researchgate.net/publication/276456150_Cold_Fusion_A_Hypothesis;Gozzi, D., et al. (1998): Search for Radiation from Low Energy Nuclear Reactions.
A study examining low-level radiation in LENR systems and its implications.|https://www.jstor.org/stable/24101730;Miley, G. H., & Patterson, J. (1996): Nuclear transmutations in thin-film nickel coatings undergoing electrolysis.
Observation of isotopic shifts and transmutation products in nickel systems.|https://www.lenr-canr.org/acrobat/MileyGHnucleartra.pdf;Krivit, S., & Marwan, J. (2010): A new look at low-energy nuclear reaction (LENR) research.
Discusses advancements and debates in the field over the last two decades.|https://pubs.rsc.org/en/content/articlelanding/2009/em/b915458m","Storms, E. (2007): The Science of Low Energy Nuclear Reaction: A Comprehensive Compilation of Evidence and Explanations about Cold Fusion.
A detailed summary of experimental findings in LENR research, with discussions on Nuclear Active Environments (NAEs).|https://www.amazon.com/Science-Low-Energy-Nuclear-Reaction/dp/9812706208;Storms, E. (2014): The explanation of low energy nuclear reaction.|https://www.amazon.com/Explanation-Low-Energy-Nuclear-Reaction/dp/9812706208;Kaal, E.: The Structured Atom Model
SAM is a revolutionary new model for the atom|https://www.amazon.co.uk/Nature-Atom-Introduction-Structured-Model-ebook/dp/B09TX3LV34;Beaudette, C. G. (2002): Excess Heat: Why Cold Fusion Research Prevailed.
A retrospective look at the LENR field, highlighting key experimental successes.|https://www.amazon.com/Excess-Heat-Fusion-Research-Prevailed/dp/0967854801",,,Structured Atom Model|https://structuredatom.org/,
20241202-long,Science's Lost Breakthroughs: Trailblazers of Transmutation and LENR,https://youtu.be/moQfV5lQpGQ,2024-12-02,LENR;History,"What if early 20th-century experiments hinted at scientific discoveries we still don’t fully understand? This video revisits the groundbreaking yet often overlooked work of scientists like Clarence Skinner, J.J. Thomson, Norman Collie, Hubert Patterson, Irvine Masson, Fritz Paneth, Kurt Peters, and John Tandberg. From hydrogen's strange interactions with metals to mysterious appearances of helium and neon in discharge experiments, these pioneers observed phenomena that defied conventional explanations of their time.

We explore how their meticulous experiments laid the foundation for modern fields like plasma physics, hydrogen storage, and Low Energy Nuclear Reactions (LENR). Could they have witnessed elemental transmutations or stumbled upon processes we are only now beginning to comprehend? Discover how these early findings, dismissed or forgotten for decades, may hold the key to unraveling some of science's most enduring mysteries.

Whether you're interested in the history of physics, experimental science, or cutting-edge theories, this journey into forgotten experiments will leave you questioning how much we still have to learn.",,"""The Evolution of Hydrogen from the Cathode and its Absorption by the Anode in Gases""  CLARENCE A. SKINNER|https://archive.org/details/sim_physical-review_1905-07_21_1;""On the Appearance of Helium and Neon in Vacuum Tubes""  CLARENCE A. SKINNER|https://archive.org/details/jstor-1636856/page/n1/mode/2up;“On the Dynamical Theory of the Electromagnetic Field” – James Clerk Maxwell|https://archive.org/details/sim_physical-review_1905-07_21_1;
“The theory of superconductivity” – H. K. Onnes|https://archive.org/details/jstor-1636856/page/n1/mode/2up;
“Scientific American Supplement No. 150 (August 9, 1913)”|https://ia800708.us.archive.org/view_archive.php?archive=/28/items/crossref-pre-1923-scholarly-works/10.1038%252Fscientificamerican03041911-143bsupp.zip&file=10.1038%252Fscientificamerican03081913-150supp.pdf;
“On the Constitution of the Ether” – Lord Rayleigh|https://journals.aps.org/pri/abstract/10.1103/PhysRevSeriesI.21.1;
“Low Energy Nuclear Reaction (LENR) Workshop 2013: Summary Report” – Nagel et al.|https://ntrs.nasa.gov/api/citations/20130001794/downloads/20130001794.pdf;
“LENR Workshop Overview – ARPA-E” – Nagel|https://arpa-e.energy.gov/sites/default/files/2021LENR_workshop_Nagel.pdf;
“The Dynamical Theory of Gases (1914)” – J. E. Littlewood|https://royalsocietypublishing.org/doi/10.1098/rspa.1914.0084;
“Some Problems of the Theory of Distribution Functions in Statistical Mechanics, I” – A. N. Kolmogorov|https://www.mathnet.ru/php/archive.phtml?wshow=paper&jrnid=ufn&paperid=15067&option_lang=eng;
“Über elektrolytische Farbreaktion, I. Elektrische Untersuchungen über die Elektrolyse von Zinksalzen” – O. Hahn|https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cber.19260590860;
“The Structure of the Atom” – Niels Bohr|https://www.science.org/doi/pdf/10.1126/science.64.1658.xii-s;
“Lattice-confinement fusion” – Wikipedia|https://en.wikipedia.org/wiki/Lattice_confinement_fusion",,,,,
20241117-long,Is The Big Bang Theory Controlling How We See CMBR Data?,https://youtu.be/Ku7mjp25Uq0,2024-11-17,CMBR;ΛCDM,"The cosmic microwave background radiation (CMBR) is hailed as the ultimate proof of the Big Bang, often seen as a ""snapshot"" of the universe’s infancy. But what if our interpretations are shaped more by assumptions than reality? In this video, we explore the complexities of CMBR data processing, uncover the circular reasoning behind its pristine blackbody spectrum, and question the foundational assumption that the CMBR is radiation from the ""surface of last scattering.""

From isotropy and homogeneity to the illusion of a perfect blackbody spectrum, this video examines the meticulous—and sometimes controversial—methods used to fit the data into a cosmological narrative. We also consider alternative perspectives and the potential implications for our understanding of the universe if the CMBR isn't what we think it is.

Are we genuinely observing the echoes of the Big Bang—or just seeing what we want to see?",,"Pierre-Marie Robitaille – Research contributions | https://www.researchgate.net/scientific-contributions/P-M-Robitaille-2034838637  
C. L. Bennett et al. – First-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations: Preliminary Maps and Basic Results | https://arxiv.org/abs/astro-ph/0302207  
G. Hinshaw et al. – Three-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations: Temperature Analysis | https://arxiv.org/abs/astro-ph/0603451
",,,,,
20241030-long,Defying the Big Bang: The Elements That Don’t Fit,https://youtu.be/hovNhrIG-Ko,2024-10-30,ΛCDM;History;Plasma Cosmology,"In this video, we explore the mysterious ""Rogue Elements"" that seem to challenge the Big Bang model’s predictions about the universe’s primordial mix. While Big Bang Nucleosynthesis (BBN) successfully predicts certain elemental ratios like hydrogen and helium, puzzling anomalies with lithium and deuterium have left scientists questioning our understanding of cosmic origins. Join us as we delve into the three key issues facing BBN—helium discrepancies, the lithium problem, and deuterium variations—and consider why alternative cosmologies, such as plasma cosmology, offer competing perspectives.

From primordial nucleosynthesis to stellar nucleosynthesis, this video unpacks the unexpected ""outliers"" that defy the Big Bang’s elemental blueprint. We also address the broader implications for cosmology: can any theory truly account for the observed abundance of elements in the universe? Or will these rogue elements force us to rethink what we thought we knew about the universe’s origins?",,,,,,,
20241014-long,The Flawed Logic of Expansion: Are We Trapped in Circular Reasoning?,https://youtu.be/iKKqOsAgCTg,2024-10-14,ΛCDM;Timeline,"In this episode of our series on the Big Bang, we dive into the evidence supporting cosmic expansion and uncover a troubling question: is expansion really as well-validated as we've been led to believe? Much of the evidence, it turns out, is interpreted through a framework that assumes expansion from the start. What happens when we remove that assumption?

We explore how changing the model of the universe can lead to different interpretations of the same data, and reveal the circular reasoning that traps cosmologists in their own theories. Using the concept of an expansion singularity, we show how cosmologists are stuck inside the event horizon of their assumptions, unable to see beyond the limits of their own model.

Are we truly observing an expanding universe, or is it just an illusion based on pre-existing assumptions? Join us as we rethink the evidence, challenge the mainstream, and ask: What is fact, and what is interpretation?",,"David F. Crawford – A problem with the analysis of type Ia supernovae|https://www.researchgate.net/publication/321417636_A_problem_with_the_analysis_of_type_Ia_supernovae;Eric J. Lerner – Tolman Test from z = 0.1 to z = 5.5: Preliminary results challenge the expanding universe model|https://arxiv.org/abs/0906.4284;Eric J. Lerner, Renato Falomo, Riccardo Scarpa – UV surface brightness of galaxies from the local Universe to z ~ 5|https://arxiv.org/abs/1405.0275  
",,,,,
20241003-long,Building the Big Bang's Fragile Web: The Evolution of a Theory,https://youtu.be/S_JgDe0D7ck,2024-10-03,ΛCDM;Timeline,"In this part, we delve into the history of the Big Bang theory, tracing its development from its initial proposal to the many modifications it has undergone over time. Understanding this evolution is key to grasping why challenging the theory is not simple. The Big Bang model has been continuously refined and adapted to accommodate new observations, reflecting the significant investment of time and effort by the scientific community.

By exploring these adjustments, we can better appreciate the intricate complexity of the model and the challenges involved in proposing an alternative that addresses the same vast web of evidence. This journey through the theory’s history reveals just how interconnected the evidence is, and why displacing the Big Bang requires more than identifying new anomalies—it demands a framework that can match or surpass its scope.",,,,,,,
20240922-long,Challenging the Big Bang: The Struggle with Inferred Reality,https://youtu.be/UN3rwk4oD1M,2024-09-22,ΛCDM,"Challenging the Big Bang: The Struggle with Inferred Reality explores the deep-rooted challenges in overthrowing the Big Bang model. In this episode, we delve into the limitations of observations in cosmology and how they drive the need for inference and model-building to explain the universe. From cosmological redshift to the cosmic microwave background, much of what we consider evidence for the Big Bang is woven into a fragile web of interconnected inferences. This video will break down how these observations are interpreted, where the gaps lie, and why this reliance on inferred evidence creates a complex framework that's not easy to topple. Could the reality we think we see be an illusion shaped by our models?",,,,,,,
20240908-long,The Milky Way's Ancient Disc: Have We Misunderstood Galaxy Formation All Along?,https://youtu.be/cxio5WYV77Q,2024-09-08,Galaxy;ΛCDM,"In this video, we dive into groundbreaking discoveries that challenge everything we thought we knew about how galaxies form. Recent observations from the James Webb Space Telescope (JWST) and new findings in our own Milky Way suggest that ancient, cold discs might be a fundamental feature of galaxies, not just the result of violent mergers as previously believed. With evidence of a 13-billion-year-old thin disc in the Milky Way and similar structures in high-redshift galaxies, it's becoming clear that our current galaxy formation models may be flawed.

Join us as we explore this cosmic revelation. Could it be that galaxies form with their discs already in place, rather than evolving them over time? This discovery could reshape our understanding of the early Universe and how galaxies like the Milky Way were built. Don’t miss out on this revolutionary journey through the cosmos!",,"S. Nepal – C. Chiappini – A. B. A. Queiroz – G. Guiglion – J. Montalbán – M. Steinmetz – A. Miglio – A. Khalatyan – The oldest thin disc of the Milky Way using Gaia-RVS | https://arxiv.org/abs/2402.00561;
J. Shejeelammal – J. Meléndez – A. Rathsam – G. Martos – The [Y/Mg] chemical clock in the Galactic Disk: The influence of metallicity and Galactic population in the solar neighbourhood | https://arxiv.org/abs/2407.07283v2
",,,,Fjaellet – Marie Curie (web-essay) | https://fjaellet.github.io/mariecurie.html,
20240901-long,Unexplained Galaxies at the Edge of the Universe Baffle Scientists!,https://youtu.be/yvwnABX6LAY,2024-09-01,Galaxy;ΛCDM;Timeline,"In this video, we explore a groundbreaking discovery by the James Webb Space Telescope (JWST) that has left scientists baffled. Astronomers have detected tiny, bright, and compact galaxies in the distant universe, some of which are packed with mature stars and active galactic nuclei (AGN) — features that should be impossible given their age. How could such complex structures form so soon after the universe began? Join us as we dive into this cosmic mystery, examine the implications for our understanding of the universe, and discuss the fringe theories that challenge the conventional Big Bang model. Are these unexplained objects rewriting the story of our cosmos?",,"Bingjie Wang – Joel Leja – Anna de Graaff – Gabriel B. Brammer – Andrea Weibel – Pieter van Dokkum – Josephine F.W. Baggen – Katherine A. Suess – Jenny E. Greene – Rachel Bezanson – Nikko J. Cleri – Michaela Hirschmann – Ivo Labbé – Jorryt Matthee – Ian McConachie – Rohan P. Naidu – Erica Nelson – Pascal A. Oesch – David J. Setton – Christina C. Williams – RUBIES: Evolved Stellar Populations with Extended Formation Histories at z ∼ 7-8 in Candidate Massive Galaxies Identified with JWST/NIRSpec | https://arxiv.org/abs/2405.01473
",,,,,